transcript_id,scenario_id,family_id,split
t_0ae14a4f343af8a70f8f7227,s_8064789455e349d86fe1b8d1,f_753cef1a56a5ac75cea19b82,test
t_0bd28cd416f28eedd38444cc,s_1ceb1da2394fbf7fec38c6f5,f_0e3205f4bcf8efd68376b735,test
t_11697ddf9c5eb5e1e1661265,s_d7237d3f01aade7079e54e29,f_6750d671d532b23b0703fd84,test
t_1b1693bcb5a955dd62e16dc9,s_187ba68b47abf5d86669f6ad,f_448d0a3c716066a930de6494,test
t_1dfd34066a3975fdc3c6cff8,s_8064789455e349d86fe1b8d1,f_753cef1a56a5ac75cea19b82,test
t_2371e59416a3832bda3048f7,s_f0356b2147d758c3090f708f,f_3036905a12a23cf1dc95ba4c,test
t_259c37dfefbf35cd138e4497,s_74c2388d877436227da6c8d2,f_37809d7364cf545c7ac717c3,test
t_269faa618853b22233f5b8a9,s_74c2388d877436227da6c8d2,f_37809d7364cf545c7ac717c3,test
t_2855578e6b6e22da724c804b,s_efe3060c2fdfadee05806efd,f_21b6b3a614d41bf381d01ea6,test
t_296fcfd94adb128b42036598,s_dd3c79f464f74210f7418b30,f_65a2125124b3c19deca81abb,test
t_2cc58785e5ca45043f791c7f,s_90fb630cc3052e1ac3334013,f_33e4ba38fb92befaceb2fcf5,test
t_2e2b19a5e939442ec824da6f,s_63936691634fcd6f10ba7fcd,f_9a2425e1810b6c86d481a78f,test
t_389e7d901152f458c1e31203,s_86e4d821cb187123514e2121,f_9f1df2d2aff8a3de0b2a0a1a,test
t_3ae1b88f30618d9e69318e57,s_7716d27669401f8407891afd,f_bb51f6567de7bef9a4b2f4aa,development
t_3de60223a549522bedfdafca,s_5b298d757f98db6156b13a11,f_0278c78de511b72b373c53ba,test
t_416890342e12cb91b58bdbd5,s_187ba68b47abf5d86669f6ad,f_448d0a3c716066a930de6494,test
t_42754a8610196ac1fcf63a59,s_1ceb1da2394fbf7fec38c6f5,f_0e3205f4bcf8efd68376b735,test
t_53c59516963bb9029550a211,s_63936691634fcd6f10ba7fcd,f_9a2425e1810b6c86d481a78f,test
t_57b175b18f065c6bed840302,s_a8a40a5ad2f147070d6f8aa9,f_e8673b21ce20dfa4f8313790,test
t_59ab6dab5b9118dfe2c40897,s_31b2babbcf35d36cc2de8c0b,f_3db4dd3fde634019be26504d,test
t_59f21ea74d40a9cff27a5644,s_efe3060c2fdfadee05806efd,f_21b6b3a614d41bf381d01ea6,test
t_6091db2ae4529d8b4fd041e0,s_698872169e1aa144eb0610ce,f_49a4e5c97e4960d66fcad1f1,test
t_62713e8afc775461d9490fbc,s_1de376b303bae671fb49b259,f_495d522a8fa862e27ee77df8,development
t_68f35802d0482f6eccfa05c1,s_d7237d3f01aade7079e54e29,f_6750d671d532b23b0703fd84,test
t_6a154093b972c756ddcd97f7,s_c321ef11956181a006656e22,f_495d522a8fa862e27ee77df8,development
t_6ab86e30a4a832b9e4de32ec,s_7716d27669401f8407891afd,f_bb51f6567de7bef9a4b2f4aa,development
t_6ce9bf1f77ecf05f5f48f4e4,s_b5839a8ee67d528785390189,f_8108cdb0993e19800a9bad43,development
t_6e578ccb6355fcd585634e80,s_a239fd9572f67d065ee3af6f,f_3c3631536d2713e9f6b29583,development
t_733eecb572005a0327e6a174,s_83b4cec4a0b41b79bd2dbb1d,f_8de78fda34e608c4872e594e,test
t_741d4a96ba1605bbb09ff273,s_44fed0de75c54e5f0448d01e,f_fb3c50ee7a6279ee85be1428,test
t_7b1fcf6249c6c1aaa484ab6a,s_169afd77af87e6ea62933f3c,f_89239756e2e1b1512738252c,test
t_7b399545e90d7567c6976caf,s_7c704628ba11a90277685a13,f_0cd30622248c1874c08ee418,test
t_7c55d7d06eaac1a05804f8b2,s_ff984b3fece837fd4a382a47,f_46119ba1bf713d0bc7972105,test
t_7d06036151bcc0eb867913b1,s_c407e58658c16f3c8de233fc,f_be71f0424ebe94442736dc4f,development
t_7d0fbb94c326ed3d8f7efc3d,s_c407e58658c16f3c8de233fc,f_be71f0424ebe94442736dc4f,development
t_7d50cbdbfe425a945995f850,s_90fb630cc3052e1ac3334013,f_33e4ba38fb92befaceb2fcf5,test
t_846341b3994472f972d6eaa3,s_e20b327042c639afbbe09477,f_a130fb4e5b95f00ec9637626,test
t_84b77f7b6aafc78af874744f,s_b5839a8ee67d528785390189,f_8108cdb0993e19800a9bad43,development
t_86a7db5cf94c0c27aa394d75,s_aff32426ce78fc7941cf7015,f_85440f60cbd548ac1973772c,test
t_879734bd95a2fbc50216ad3b,s_44fed0de75c54e5f0448d01e,f_fb3c50ee7a6279ee85be1428,test
t_9153b6f1696cca27d906208d,s_7c704628ba11a90277685a13,f_0cd30622248c1874c08ee418,test
t_97ca60ed7d4cfb6a90e9580d,s_b1734da09fb101f7680b992b,f_d901510cedc0337d475d9853,development
t_9fae83b39f2454446647b1cc,s_b65ba133081efd5d13470ef9,f_40198893c131b8f2a1426f8a,test
t_a19cd4e8cd174912adffa2c1,s_d275f9494cc63752b2142bda,f_f630eb00b49c103cee5144c0,development
t_a387b0337feb88c42490b20d,s_dd3c79f464f74210f7418b30,f_65a2125124b3c19deca81abb,test
t_ac2c0fcb9cafc5cac047fd37,s_ff984b3fece837fd4a382a47,f_46119ba1bf713d0bc7972105,test
t_aed71da4bf332cfcfaea52fe,s_824bd52e5469d0e331e93fc4,f_4f0afe0ff93d7303f4d12a79,test
t_b01914e127a31a33b2bf7e9a,s_84997721b1cfa97e26d3a3c1,f_33e4ba38fb92befaceb2fcf5,test
t_b1d56f327bbc29d2609af327,s_c321ef11956181a006656e22,f_495d522a8fa862e27ee77df8,development
t_b81c042a91a68e370d7b6403,s_13e7cea1544ab9d99df38200,f_be53dda2f3c32acddff744ea,test
t_bea8f6d8786e4697ad2f615a,s_824bd52e5469d0e331e93fc4,f_4f0afe0ff93d7303f4d12a79,test
t_c227bee0720318c02f06fcf5,s_e20b327042c639afbbe09477,f_a130fb4e5b95f00ec9637626,test
t_c6ed22e28d39a86b38932426,s_3ee0056e0ee9498bf72ca0ad,f_18d8f9a473a8643d28ff9e77,test
t_c9f76d246022b3b0fc4ed72d,s_d275f9494cc63752b2142bda,f_f630eb00b49c103cee5144c0,development
t_d110eb52b8633131d2f5c42e,s_5b298d757f98db6156b13a11,f_0278c78de511b72b373c53ba,test
t_d4eb17c29a020ee5d75e4df0,s_a239fd9572f67d065ee3af6f,f_3c3631536d2713e9f6b29583,development
t_d5c9e2188e12d5e396d74636,s_13e7cea1544ab9d99df38200,f_be53dda2f3c32acddff744ea,test
t_d7e9c5d5c0e572701eeb2870,s_a8a40a5ad2f147070d6f8aa9,f_e8673b21ce20dfa4f8313790,test
t_da2f431ceefbbb62a2487a7b,s_1de376b303bae671fb49b259,f_495d522a8fa862e27ee77df8,development
t_dbf63a38200113dac01803f1,s_b1734da09fb101f7680b992b,f_d901510cedc0337d475d9853,development
t_dc692bb4ec4e5216eb6c39cb,s_84997721b1cfa97e26d3a3c1,f_33e4ba38fb92befaceb2fcf5,test
t_df3a0d5a259b5dea70e94b60,s_f0356b2147d758c3090f708f,f_3036905a12a23cf1dc95ba4c,test
t_e6102ef29f6b73110a1965da,s_83b4cec4a0b41b79bd2dbb1d,f_8de78fda34e608c4872e594e,test
t_e8ba5b47f1a4ea0a08d45a65,s_b65ba133081efd5d13470ef9,f_40198893c131b8f2a1426f8a,test
t_f121e10e453f96dd9ada72ef,s_3ee0056e0ee9498bf72ca0ad,f_18d8f9a473a8643d28ff9e77,test
t_f350fd38f916e484efbf78cb,s_aff32426ce78fc7941cf7015,f_85440f60cbd548ac1973772c,test
t_f6e4bf84753282fd1c9070ad,s_86e4d821cb187123514e2121,f_9f1df2d2aff8a3de0b2a0a1a,test
t_f78b64689ca4a1b2878de904,s_31b2babbcf35d36cc2de8c0b,f_3db4dd3fde634019be26504d,test
t_fe870048e2ef2522acdc12c3,s_169afd77af87e6ea62933f3c,f_89239756e2e1b1512738252c,test
t_fe877b8d0eb050d0ab0e1cd5,s_698872169e1aa144eb0610ce,f_49a4e5c97e4960d66fcad1f1,test
